ENCODED_MCT,주요고객층,M12_SME_RY_ME_MCT_RAT,M12_SME_BZN_ME_MCT_RAT,M12_MAL_1020_RAT,M12_MAL_30_RAT,M12_MAL_40_RAT,M12_MAL_50_RAT,M12_MAL_60_RAT,M12_FME_1020_RAT,M12_FME_30_RAT,M12_FME_40_RAT,M12_FME_50_RAT,M12_FME_60_RAT
003AC99735,M12_MAL_1020_RAT,13.51666667,8.266666667,16.58390417,16.08219167,11.54142917,10.51335,3.969045833,11.69942917,11.31364167,8.129404167,7.38665,2.785120833
00F54829E1,M12_FME_30_RAT,13.51666667,,9.803041667,13.64114583,8.644204167,5.977,2.665504167,14.34279167,19.82135417,12.58079583,8.698,3.830329167
00FDB35E9C,M12_FME_1020_RAT,13.51666667,,19.482025,13.704325,3.955654167,3.910916667,1.434541667,26.40130833,18.533175,5.352679167,5.28075,1.944625
01EDD97C21,M12_MAL_30_RAT,13.3,6.370833333,14.50031667,22.9746,14.1545875,10.6579625,5.474091667,6.85385,10.94206667,6.741245833,5.083704167,2.634241667
01FD0FCC3D,M12_FME_1020_RAT,17.35,8.107142857,7.771414286,6.907857143,1.543685714,1.489257143,0.76365,38.22144286,27.87785714,6.1706,6.1036,3.13635
0220D6AA93,M12_FME_1020_RAT,13.51666667,9.583333333,18.03455,12.18359167,4.26455,5.369691667,2.380354167,24.59878333,16.708075,5.839616667,7.367808333,3.2613125
029F2B4A59,M12_FME_30_RAT,16.97916667,,9.45795,16.27892917,6.641270833,3.546916667,0.650345833,16.28788333,28.2252375,11.5795625,6.223916667,1.1204875
02A32AE992,M12_FME_30_RAT,13.51666667,,13.24710833,13.20809583,4.285041667,4.929383333,2.635616667,21.286225,21.30857083,6.889958333,7.983116667,4.197716667
02EECADFE6,M12_FME_1020_RAT,17.31111111,8.677777778,19.1325,5.295,1.262475,2.0624625,0.8778,48.405,14.03,2.512525,5.1125375,1.2972
02FE4FD151,M12_FME_30_RAT,16.97916667,8.029166667,13.5913,19.61304583,7.5035125,3.2767875,1.013666667,16.55453333,24.0077875,9.225654167,3.9982125,1.2405
035ADB2AA8,M12_MAL_30_RAT,16.97916667,,20.71158947,22.85528421,6.225742105,5.797215789,1.276684211,16.26209474,16.68155789,5.074257895,3.950152632,1.154894737
036B3FD49B,M12_MAL_30_RAT,13.50416667,8.320833333,14.843025,23.08268333,11.99445,7.357966667,2.244179167,10.081975,15.66315,8.184716667,5.0212,1.5224875
03BE2D577F,M12_MAL_30_RAT,14.25,8.261111111,16.29078824,20.72088235,8.268352941,4.228076471,1.321641176,15.76215294,20.06147059,8.002235294,4.089570588,1.278358824
0487117D58,M12_FME_1020_RAT,13.51666667,10.09583333,18.71780833,2.21795,2.496258333,4.972833333,0.6642375,45.53635833,5.461216667,6.095408333,12.20216667,1.631595833
055A2785B9,M12_MAL_30_RAT,16.97916667,8.25,6.16555,21.13594583,13.361325,12.8310625,10.2354375,3.526116667,12.02655417,7.572008333,7.302270833,5.831229167
05EE42C739,M12_FME_30_RAT,13.51666667,8.029166667,10.78532917,17.1477375,6.596016667,2.686654167,1.109008333,17.38550417,27.5897625,10.59148333,4.3175125,1.790991667
06A87DAA45,M12_FME_60_RAT,5.6125,8.029166667,0,0,0,0,0,0,2.458333333,0,0,97.54166667
085F6E716F,M12_MAL_30_RAT,17.28823529,,12.31535294,20.65525882,11.74037647,8.040141176,7.781882353,8.355235294,14.25650588,7.053741176,4.830447059,4.982823529
08A8D396B4,M12_FME_30_RAT,17.2047619,8.342857143,12.48117143,16.66911905,6.016219048,3.88982381,1.305590476,18.48549524,24.64040476,8.807590476,5.757795238,1.937266667
08D893CAA8,M12_FME_30_RAT,16.97916667,,7.5765375,13.47385833,10.00197917,8.1907625,3.887079167,10.06512917,17.73030833,13.18552083,10.75090417,5.1295875
0961D33241,M12_FME_30_RAT,16.97916667,9.583333333,4.7352375,8.592395833,6.9432875,4.645208333,1.0121875,13.74809583,24.15760417,19.97337917,13.24229167,2.9628125
09A5C8DB83,M12_FME_30_RAT,16.97916667,8.029166667,11.45289167,18.79020417,7.951029167,7.509175,4.178295833,11.538775,18.86812917,8.0031375,7.528325,4.184204167
